,ALPHA_M,Field,GLAT,GLON,M_H,VGSR,X,Y,Z,pmbb,pmll,pmll_gsr,shdist,zbins
308351,0.09533605,004-04          ,-4.26192299433,4.48756608367,-0.16938515,107.3556288362482,11.031701,0.86581326,-0.8246501,3.5916580823155564,-7.508955438523605,-1.608955438523605,11.0963109768,2.0
308359,0.017542332,025+06          ,6.47397586157,24.2836168339,0.36403453,116.25878619233774,4.082354,1.8418536,0.50820535,-1.031868219078965,-3.9896379487643854,1.910362051235615,4.50736198448,6.0
308365,0.18592478,004-04          ,-4.49184515788,4.07449707572,-0.2829755,-2.6269201886824094,5.080559,0.3619098,-0.40014002,0.557239026880969,-6.643444139491899,-0.7434441394918982,5.10912578574,3.0
308368,0.16721605,350-12          ,-11.4807704656,-9.452425269999992,-0.42130515,-142.6930514018838,7.5853205,-1.2628697,-1.5618156,-4.065455790305949,-3.4498839352606394,2.450116064739361,7.84673156663,1.0
308369,0.11223605,003-05          ,-5.21389228969,2.73540586237,0.038509756,-21.0357645032225,7.860882,0.37558398,-0.718148,3.3517829356776385,-4.504840644762416,1.3951593552375847,7.90254768584,3.0
308370,0.026552625,350-12          ,-11.8727250015,-10.25552933900002,-0.13373378,-91.9043899719445,4.1566195,-0.75205153,-0.88806427,-2.9407379592422123,-7.3798264504453694,-1.479826450445369,4.31644847156,2.0
308374,0.07913606,014+02          ,1.13837129616,14.4205899198,-0.09618515,210.6401396301504,7.262426,1.8674634,0.1489934,-1.4357404662739732,-5.234015465800532,0.6659845341994686,7.50016337691,5.0
308375,0.19408606,004-04          ,-4.18927722048,4.64973027142,-0.22813514,13.507802989212893,8.955769,0.7283949,-0.6581651,2.889389153128151,-0.6144997821034605,5.28550021789654,9.00941381616,3.0
308379,0.17995504,025+06          ,6.33581704582,24.047520812,-0.2439102,145.33750180725113,4.4582047,1.9893583,0.5420492,-0.2826950718364316,-1.93140416756555,3.9685958324344504,4.91191935268,6.0
308383,-0.014670949,005-03          ,-3.52509265636,5.88325363068,0.33999485,145.31970050744906,6.888728,0.7098513,-0.42661855,4.017175285259308,-9.626179678332907,-3.7261796783329064,6.9383331519,3.0
308385,0.19706605,350-12          ,-11.9147719444,-10.328481711999984,-0.27940515,-136.27961642992224,7.8368225,-1.4282129,-1.680834,-1.8261657730360403,-4.404319625052605,1.495680374947395,8.14130084004,0.0
308391,-0.06227295,004-04          ,-4.29482929604,4.46306315433,0.5628449,-6.811286830503736,7.604201,0.59353703,-0.572821,1.7763628572958616,-5.770130497438821,0.12986950256117957,7.64880922457,3.0
308393,0.02046505,003-05          ,-4.83511169298,3.46051441833,0.40376484,72.25608695559676,7.818067,0.47277144,-0.6625462,-2.197601079974347,-1.5231021573375079,4.376897842662492,7.86032162729,3.0
308403,-0.02610995,016+02          ,1.665862221,15.4050678108,0.34638485,209.59097403217103,5.7884703,1.594967,0.17460962,-0.4502942973948283,-8.385665560847741,-2.4856655608477407,6.00672948126,5.0
308405,0.0092616305,003-05          ,-5.4223601672,2.37172828493,0.46221888,-105.98279031451766,8.05572,0.33365858,-0.76532924,-2.0478425977098094,-5.517696936489007,0.3823030635109932,8.09886960563,3.0
308408,0.0375136,025+06          ,6.06489795741,23.5590142926,0.30815262,153.06276579173587,4.47014,1.9491547,0.5181295,-1.094954593655967,-4.978931015010559,0.9210689849894411,4.90406111231,6.0
308412,0.2207269,350-12          ,-11.9398937602,-10.360932092999974,-0.42281583,-225.22369856324315,8.622654,-1.5764722,-1.8535844,-0.5266282373648283,-6.714053419684065,-0.8140534196840647,8.95941947194,0.0
308415,0.115606055,004-04          ,-4.33849695397,4.40643945363,-0.5797062,17.160453845505064,7.102716,0.5473326,-0.5404636,2.5342951326094845,-2.5524368114674973,3.347563188532503,7.1442458894,3.0
308420,-0.0057629496,004-04          ,-4.58838564055,3.94534627719,0.55838484,-23.895337952926454,7.1025624,0.4898571,-0.57137424,3.192546495366064,-7.013453972218142,-1.1134539722181414,7.14232613473,3.0
308422,-0.015204951,005-03          ,-3.55389569874,5.86503097522,0.23663485,198.66894689641435,7.743277,0.7954198,-0.48345307,-0.8531506446992152,-7.503009647375131,-1.6030096473751305,7.79902287733,3.0
308432,-0.006174948,012+00          ,-0.066184197008,12.2700106657,0.15624486,84.33788760630617,4.7014103,1.0225002,-0.0055655423,1.4553213744227185,-3.2497275553401757,2.6502724446598247,4.81131979897,4.0
308436,0.18238606,003-05-O        ,-4.58049022254,3.97341910693,-1.1083282,95.93731310487094,8.567951,0.5951418,-0.6880918,0.5975145933253634,-5.264394519574761,0.6356054804252391,8.61611550438,3.0
308437,0.16012606,004-04          ,-4.58049253979,3.97342000636,-1.1328282,94.66711399376588,9.805777,0.6811229,-0.7875015,0.5975145933253634,-5.264394519574761,0.6356054804252391,9.86089948872,3.0
308439,0.23395605,004-04          ,-4.52682290197,4.07515955343,-0.24485514,-63.33713948188004,8.829735,0.62908214,-0.7008598,1.3045386590319743,-6.683934518549426,-0.783934518549426,8.87981778529,3.0
308445,0.15075606,004-04          ,-4.43204276051,4.25841941027,-0.94644743,89.55594759970803,9.884345,0.7360016,-0.7682555,4.744353607875889,-8.518997301878574,-2.618997301878574,9.94143832394,3.0
308447,0.023624051,014+00          ,0.564146207253,13.4354776553,-0.16449516,168.63711491240602,7.8133645,1.8665268,0.07908604,3.801036469863158,-5.933462217277166,-0.03346221727716525,8.03360693703,5.0
308449,0.22283606,008-02          ,-2.4897903354,7.84637028629,-0.8672067,-3.8655124396617304,9.618235,1.3254732,-0.4221917,0.21577130884849804,-8.177307535848007,-2.2773075358480064,9.71831033148,3.0
308452,0.010943051,004-04          ,-4.29694371435,4.51186787036,0.061601855,58.856676010204644,4.357891,0.34388503,-0.32846215,1.628179601215467,1.4827124728168022,7.382712472816802,4.38376099018,4.0
308457,-0.02696195,016+02          ,2.36890553019,16.7469307534,0.49646485,18.902176482221844,4.6915646,1.4117315,0.20267229,-0.1945718203482123,-4.769393819187114,1.1306061808128867,4.90355390288,5.0
308460,0.1306586,350-12          ,-11.48092647,-9.381474421000007,-0.120577954,-174.78206554810671,8.619656,-1.4241071,-1.7744452,0.44430231879315585,-7.392806273910516,-1.4928062739105155,8.91488621421,0.0
308470,-0.0032449514,004-04          ,-4.54462450982,4.0647110316,0.12239586,205.27348692008405,8.0088415,0.569129,-0.63820344,-0.4396394273357003,-9.088649859488783,-3.188649859488782,8.05436198968,3.0
308479,0.23693605,004-04          ,-4.22096087619,4.67347716341,-0.7820124,37.731370196347655,7.313386,0.59786713,-0.5415631,-1.3221164452214293,-6.901632042901861,-1.0016320429018606,7.35774075471,3.0
308483,0.21659605,004-04          ,-4.28978201596,4.54994492682,-0.24756515,-34.49333029944506,8.212896,0.65357924,-0.6180179,0.8827277139463843,-9.62882895109787,-3.728828951097869,8.26200846458,3.0
308484,0.16926606,004-04          ,-4.3823169001,4.38012588933,-1.1322283,-127.28786138125467,7.431146,0.56920826,-0.57116795,2.02833494957427,-5.6511387391450345,0.24886126085496585,7.47476858345,3.0
308485,-0.02359595,004-04          ,-4.24313721262,4.63875857255,0.26904485,-23.410214175592586,7.474341,0.606466,-0.556373,1.5566680602880487,-0.6809943271258551,5.219005672874145,7.51951612246,3.0
308486,-0.032388948,003-05-O        ,-4.48096116402,4.1973557367,0.084542856,112.88545728959161,5.1531754,0.3781901,-0.40493423,0.1854250105307761,0.36741720410976453,6.267417204109765,5.18287704349,3.0
308487,0.19041605,350-12          ,-11.9819722558,-10.395443580999995,-0.23337516,-145.66847954288326,5.965647,-1.0944079,-1.2872119,2.449666808055279,-3.6068645686767153,2.293135431323285,6.20028957505,1.0
308496,0.19664605,004-04          ,-4.56759859337,4.04266392814,-0.10491514,44.64814477014753,7.6720104,0.54222596,-0.61444914,1.1279999960347986,-10.726507796283347,-4.826507796283346,7.71565287513,3.0
308501,-0.02432695,003-05          ,-4.83714347201,3.54456508722,0.40592486,37.32822034175247,7.9650774,0.49338964,-0.6753503,1.2287831799908577,-1.852119849840605,4.047880150159395,8.00886951605,3.0
308502,0.16949606,012+00          ,-0.00737954270839,12.4325223429,-0.20902514,84.13085041302068,4.3821464,0.9660894,-0.00058528146,-1.6523182897796154,-7.439714825726283,-1.539714825726283,4.48737526639,4.0
308509,0.03943405,004-04          ,-4.54580829826,4.09246447637,0.072298855,-78.91308228498342,10.093887,0.722212,-0.8045935,0.044520111721457534,-2.9733044545280194,2.926695545471981,10.1516267995,2.0
308512,-0.0035039485,012+00          ,-0.166015389595,12.1516632246,0.21814485,90.73487243982694,4.320463,0.9303066,-0.012812756,-2.2176709648161954,-1.5244540998059901,4.375545900194011,4.41950649111,4.0
308514,-0.05264485,004-04          ,-4.27625223278,4.60136672892,0.55111486,105.12026234527146,7.295689,0.5871779,-0.5472997,0.03473853023707063,-3.9537315886051894,1.946268411394811,7.33971368252,3.0
308518,-0.01625295,016+02          ,1.47230571239,15.1582926388,0.39541486,81.58223694493455,4.625092,1.2529998,0.12315231,0.30608567665504127,-4.200878352558834,1.6991216474411663,4.79339671044,5.0
308522,-0.044164248,018+02          ,2.71956498773,17.4544832653,0.31520486,62.87115005938811,6.1908736,1.9465759,0.30825582,1.6608490620992638,-4.925364895215232,0.9746351047847686,6.4970067442,5.0
308526,0.20216349,008-02          ,-2.67875906864,7.56741110488,-0.22879581,73.92565516720742,5.4298944,0.72136384,-0.25629047,-2.2112446230565874,-3.1102043174193246,2.789795682580676,5.48359409979,4.0
308528,0.18575606,004-04          ,-4.4428130309,4.30783702041,-0.09234515,-104.55801682669065,6.8984685,0.51965255,-0.5375227,-0.299676207455152,-2.502630548159632,3.3973694518403685,6.9388641269,3.0
308531,0.14678605,004-04          ,-4.51946817258,4.16819307974,0.48658484,-68.02498092422422,8.177143,0.5959342,-0.6480773,-0.1299203831919895,-6.589108779084235,-0.6891087790842345,8.22440311625,3.0
308534,-0.03719095,008-02          ,-2.72837376295,7.48309298342,0.49454486,-63.51031577661663,4.1863327,0.5498879,-0.20122047,0.5757383842010129,-4.847860092145998,1.0521399078540021,4.2270850394,4.0
308539,-0.030184949,004-04          ,-4.61698959204,3.99629165375,0.40531486,161.44006927458528,8.672772,0.60590166,-0.70210314,0.5859806544521864,-9.414404235060555,-3.514404235060555,8.72221528806,3.0
308540,0.19360264,003-05          ,-4.84943343808,3.5639097268,-0.41646937,58.62411805180575,6.2053595,0.38648865,-0.5275,-3.8877568594095386,-1.6039293155659764,4.296070684434024,6.23972094024,3.0
308546,0.21826605,350-12          ,-11.6294065328,-9.616612886999974,-0.52588254,-71.99872539335796,8.644229,-1.4646357,-1.8043965,0.6650253802364912,-6.185744928553116,-0.2857449285531155,8.95118405592,0.0
308550,-0.0016547069,350-12          ,-11.5474185273,-9.446841767000024,0.32347447,-33.702582563566295,4.8831744,-0.812504,-1.0114254,-1.0920954417657578,-4.094725079736524,1.805274920263476,5.05257715167,2.0
